GPStime utc,latitude,longitude,speed,sats in view
2022-08-20T09:23:40.000Z,60.196451148,24.960462239,0.582,0
2022-08-20T09:23:41.000Z,60.196446687,24.960462239,0.374,0
2022-08-20T09:23:42.000Z,60.196437765,24.960462239,0.257,7
2022-08-20T09:23:43.000Z,60.196441539,24.960486191,0.192,7
2022-08-20T09:23:44.000Z,60.196441539,24.960486191,0.121,7
2022-08-20T09:23:45.000Z,60.196437078,24.960486191,0.279,7
2022-08-20T09:23:46.000Z,60.196439678,24.960493798,0.233,7
2022-08-20T09:23:47.000Z,60.196439678,24.960493798,0.059,7
2022-08-20T09:23:48.000Z,60.196439678,24.960493798,0.124,7
2022-08-20T09:23:49.000Z,60.196446739,24.960501406,0.369,7
